timestamp: 11/05/2015 8:14:57.182 PM, source: 20002, destination: 41192, Sequence # : 0, ACK # : 0, fin: 0 Estimated RTT: 177 ms
timestamp: 11/05/2015 8:14:57.224 PM, source: 20002, destination: 41192, Sequence # : 1, ACK # : 0, fin: 0 Estimated RTT: 162 ms
timestamp: 11/05/2015 8:14:57.225 PM, source: 20002, destination: 41192, Sequence # : 2, ACK # : 0, fin: 0 Estimated RTT: 149 ms
timestamp: 11/05/2015 8:14:57.226 PM, source: 20002, destination: 41192, Sequence # : 3, ACK # : 0, fin: 0 Estimated RTT: 138 ms
timestamp: 11/05/2015 8:14:57.226 PM, source: 20002, destination: 41192, Sequence # : 4, ACK # : 0, fin: 0 Estimated RTT: 128 ms
timestamp: 11/05/2015 8:14:57.227 PM, source: 20002, destination: 41192, Sequence # : 5, ACK # : 0, fin: 0 Estimated RTT: 120 ms
timestamp: 11/05/2015 8:14:57.227 PM, source: 20002, destination: 41192, Sequence # : 6, ACK # : 0, fin: 0 Estimated RTT: 113 ms
timestamp: 11/05/2015 8:14:57.227 PM, source: 20002, destination: 41192, Sequence # : 7, ACK # : 0, fin: 0 Estimated RTT: 107 ms
timestamp: 11/05/2015 8:14:57.228 PM, source: 20002, destination: 41192, Sequence # : 8, ACK # : 0, fin: 0 Estimated RTT: 101 ms
timestamp: 11/05/2015 8:14:57.228 PM, source: 20002, destination: 41192, Sequence # : 9, ACK # : 0, fin: 0 Estimated RTT: 96 ms
timestamp: 11/05/2015 8:14:57.229 PM, source: 20002, destination: 41192, Sequence # : 10, ACK # : 1, fin: 0 Estimated RTT: 85 ms
timestamp: 11/05/2015 8:14:57.231 PM, source: 20002, destination: 41192, Sequence # : 11, ACK # : 2, fin: 0 Estimated RTT: 75 ms
timestamp: 11/05/2015 8:14:57.232 PM, source: 20002, destination: 41192, Sequence # : 12, ACK # : 3, fin: 0 Estimated RTT: 66 ms
timestamp: 11/05/2015 8:14:57.232 PM, source: 20002, destination: 41192, Sequence # : 13, ACK # : 4, fin: 0 Estimated RTT: 58 ms
timestamp: 11/05/2015 8:14:57.232 PM, source: 20002, destination: 41192, Sequence # : 14, ACK # : 5, fin: 0 Estimated RTT: 51 ms
timestamp: 11/05/2015 8:14:57.233 PM, source: 20002, destination: 41192, Sequence # : 15, ACK # : 6, fin: 0 Estimated RTT: 45 ms
timestamp: 11/05/2015 8:14:57.233 PM, source: 20002, destination: 41192, Sequence # : 16, ACK # : 7, fin: 0 Estimated RTT: 40 ms
timestamp: 11/05/2015 8:14:57.234 PM, source: 20002, destination: 41192, Sequence # : 17, ACK # : 8, fin: 0 Estimated RTT: 35 ms
timestamp: 11/05/2015 8:14:57.234 PM, source: 20002, destination: 41192, Sequence # : 18, ACK # : 9, fin: 0 Estimated RTT: 31 ms
timestamp: 11/05/2015 8:14:57.234 PM, source: 20002, destination: 41192, Sequence # : 19, ACK # : 10, fin: 0 Estimated RTT: 27 ms
timestamp: 11/05/2015 8:14:57.235 PM, source: 20002, destination: 41192, Sequence # : 20, ACK # : 11, fin: 0 Estimated RTT: 24 ms
timestamp: 11/05/2015 8:14:57.238 PM, source: 20002, destination: 41192, Sequence # : 21, ACK # : 12, fin: 0 Estimated RTT: 21 ms
timestamp: 11/05/2015 8:14:57.240 PM, source: 20002, destination: 41192, Sequence # : 22, ACK # : 13, fin: 0 Estimated RTT: 19 ms
timestamp: 11/05/2015 8:14:57.569 PM, source: 20002, destination: 41192, Sequence # : 23, ACK # : 23, fin: 0 Estimated RTT: 17 ms
timestamp: 11/05/2015 8:14:57.570 PM, source: 20002, destination: 41192, Sequence # : 24, ACK # : 23, fin: 0 Estimated RTT: 15 ms
timestamp: 11/05/2015 8:14:57.570 PM, source: 20002, destination: 41192, Sequence # : 25, ACK # : 23, fin: 0 Estimated RTT: 14 ms
timestamp: 11/05/2015 8:14:57.571 PM, source: 20002, destination: 41192, Sequence # : 26, ACK # : 23, fin: 0 Estimated RTT: 13 ms
